docid,firstpub,date,birthdate,recept,genretags,enumcron,nationality,gender,author,title
uiuo.ark+=13960=t0ms47n5n,1824,1824,1824,,fic,v.3,,,"M'Donogh, Felix,",The highlanders
uc2.ark+=13960=t1ng4nw76,1824,1824,1824,,fic,v.0001,,,"Calt, John,",Rothelan;
nyp.33433074955497,1826,1826,1826,,fic,v. 2,,,"Banim, John,",Tales by the O'Hara family
nyp.33433081694543,1826,1826,1826,,fic,,,,"Head, Francis Bond,",Rough notes taken during some rapid journeys across the Pampas and among the Andes
mdp.39015062286094,1829,1829,1829,,fic,v.1,,,"James, G. P. R.",Richelieu
njp.32101063578239,1828,1828,1828,,fic,,,,"Blackford,",The Eskdale herd-boy
nyp.33433075756050,1829,1829,1829,,fic,v. 2,,,"Sealsfield, Charles,","Tokeah; or, The white rose"
hvd.hwadb8,1829,1829,1829,,fic,v.12,,,"Scott, Walter,",The Waverley novels
nyp.33433074855077,1830,1830,1830,,fic,v. 2,,,"Galt, John,",Southennan
uiuo.ark+=13960=t5cc19268,1834,1834,1834,,fic,v.1,,,"Carleton, William,",Traits and stories of the Irish peasantry
nnc1.0022556605,1830,1830,1830,,fic,v.3,,,"Shelley, Mary Wollstonecraft,",The fortunes of Perkin Warbeck
hvd.32044009849225,1832,1832,1832,,fic,v.1,,,"Martineau, Harriet,",Illustrations of political economy
nyp.33433082294616,1832,1832,1832,,fic,v. 2,,,"Kennedy, John Pendleton,",Swallow barn
nyp.33433076057862,1833,1833,1833,,fic,v. 6,,,"Scott, Walter,",The complete works of Sir Walter Scott ;
mdp.39015039792554,1837,1837,1837,,fic,v.3,,,"Bird, Robert Montgomery,",Nick of the woods;
uiuo.ark+=13960=t9183k54p,1835,1835,1835,,fic,v.1,,,"Blessington, Marguerite,",The two friends;
hvd.hn5dnh,1839,1839,1839,,fic,,,,"Barbauld,",Lessons for children
njp.32101067178572,1835,1835,1835,,fic,vol.1,,,"Trollope, Frances Milton,",Tremordyn cliff
uiuo.ark+=13960=t01z4wd3v,1837,1837,1837,,fic,v. 3,,,"Disraeli, Benjamin,",Henrietta Temple
uiuo.ark+=13960=t23b6pc44,1836,1836,1836,,fic,v.1,,,"Sherer, Moyle,",The broken font
hvd.32044086829090,1844,1844,1844,,fic,,,,"James, G. P. R.",Arabella Stuart
uc2.ark+=13960=t0ms3k70m,1842,1842,1842,,fic,,,,"Sargent, Epes,",Wealth and worth;
nyp.33433088074210,1842,1842,1842,,fic,,,,"Bussey, George Moir.","Fables, original and selected"
hvd.hn5dpi,1841,1841,1841,,fic,,,,,"Charlie's discoveries, or, a good use for eyes and ears"
hvd.hn6ev6,1844,1844,1844,,fic,,,,"James, G. P. R.",Arrah Neil
wu.89099912115,1843,1843,1843,,fic,,,,"Bremer, Fredrika,","Strife and peace, or, scenes in Norway. The H... family. The Bondmaid. Axel and Anna. The home, or, family cares and family joys. A diary"
nnc1.1002109794,1847,1847,1847,,fic,,,,,"The buckskin; or, The camp of the besiegers"
uiuo.ark+=13960=t2v418x46,1849,1849,1849,,fic,v.3,,,"Murray, Hamilton.",Léonie Vermont
uiuo.ark+=13960=t8v98j32t,1845,1845,1845,,fic,v.2,,,"Gore,",The story of a royal favourite
uc2.ark+=13960=t0bv7c073,1847,1847,1847,,fic,,,,"Hall, S. C.,",Sketches of Irish character
nyp.33433081996344,1846,1846,1846,,fic,v. 16,,,"Scott, Walter,",Waverley novels
uc1.b4104597,1846,1846,1846,,fic,v.1,,,"Sewell, Elizabeth Missing,",Amy Herbert
nyp.33433074866009,1852,1852,1852,,fic,,,,"Howitt, Mary Botham,",Gabriel
njp.32101066457035,1852,1852,1852,,fic,v.2,,,"Cobbold, Richard.",Courtland
nyp.33433081863007,1851,1851,1851,,fic,,,,"Hagen, Ernst August,",Norica
nyp.33433084128390,1852,1852,1852,,fic,,,,"Grant, James,",The Scottish cavalier
nyp.33433068198542,1850,1850,1850,,fic,,,,"Burkhardt, Charles B.,",Fairy tales and legends of many nations
mdp.39015059408222,1852,1852,1852,,fic,,,,"James, G. P. R.",Pequinillo
uc2.ark+=13960=t47p8w13n,1856,1856,1856,,fic,,,,"Urbino, L. B.",The home angel
uc2.ark+=13960=t0ms3ms44,1859,1859,1859,,fic,v.31,,,"Lytton, Edward Bulwer Lytton,",Novels of Sir Edward Bulwer Lytton
uc1.b3327324,1855,1855,1855,,fic,,,,"Moodie, Susanna,",Geoffrey Moncton
nnc1.cu11683260,1856,1856,1856,,fic,v.9,,,"Cooper, James Fenimore,",Cooper's sea tales
nyp.33433076016918,1859,1859,1859,,fic,v. 23,,,"Cooper, James Fenimore,",Cooper's novels
uc1.b272927,1855,1855,1855,,fic,,,,,The Ladies' wreath
uiuo.ark+=13960=t9p27hj5m,1864,1864,1864,,fic,v.2,,,"Saunders, John,",Guy Waterman
wu.89099774549,1862,1862,1862,,fic,,,,,The cobler of Canterburie
nc01.ark+=13960=t7pn9kj22,1863,1863,1863,,fic,,,,"Hazelton, Harry.","The border spy, or, The beautiful captive of the rebel camp"
uiuo.ark+=13960=t7qn6pv8d,1861,1861,1861,,fic,v.3,,,"Oliphant,",The house on the moor
uiuo.ark+=13960=t4sj24h91,1861,1861,1861,,fic,v.2,,,"Radecliffe, Noell.",Wheel within wheel
